文件全称,失败次数
国家及行业网络安全事件应急预案,1
国家互联网信息办公室、中华人民共和国公安部,1
国家网络安全事件应急预案,1
国家互联网信息办公室、中华人民共和国公安部、关键信息基础设施保护工作部门、关键信息基础设施运营者,1
中华人民共和国国务院电信主管部门,1
中华人民共和国国家生产安全工艺、设备淘汰目录,1
中华人民共和国北京市人民政府,1
国家有关操作规程和安全措施,1
有关户外广告设施、牌匾标识管理的法律法规、技术标准和规范,1
中华人民共和国安全生产法及相关评估管理办法,1
北京市人民政府行政规范性文件制定和管理办法,1
中华人民共和国国家有关中小企业划型标准,1
中华人民共和国精神卫生法,1
中华人民共和国国家有关市场准入管理的规范性文件,1
中华人民共和国行政处罚程序规定,1
中华人民共和国国家和广东省有关行政执法与刑事司法衔接的规范性文件,1
中华人民共和国法律、中华人民共和国行政法规以及国家和广东省的有关规定,1
中华人民共和国国家禁止进口的废弃电器电子产品目录,1
中华人民共和国国家发展和改革委员会关于发布淘汰落后生产能力、工艺和产品的目录,1
国家明令淘汰的技术和工艺目录,1
中华人民共和国消费者权益保护委员会,1
单用途商业预付卡管理规定,1
河北省保护消费者合法权益条例,1
其他法律、法规,1
国家和省关于商品三包、计量、广告等管理的相关规定,1
中华人民共和国卫生检疫法,1
相城英才计划,1
皖事通办政务服务平台,1
中华人民共和国国家和省级有关证明事项告知承诺制度的规范性文件,1
中华人民共和国国家和省级有关核查期限的规范性文件,1
中华人民共和国国务院关于深化“放管服”改革优化营商环境的若干意见,1
湖北省人民政府专利管理部门,1
市（州）人民政府专利管理部门,1
湖北省专利保护条例,1
湖北省财政厅,1
湖北省定价目录,1
中华人民共和国国家相关行政规定,1
湖北省实施〈中华人民共和国价格法〉办法,1
湖北省地方性法规制定条例,1
中华人民共和国国家和湖北省有关信息化的标准和规范,1
中华人民共和国国家和省有关信息化工程项目验收的规定,1
湖北省人民政府关于信息化项目绩效评估办法的制定规定,1
中华人民共和国税收减免政策相关法律法规,1
中华人民共和国相关行业标准,1
中华人民共和国国家和省有关信息资源管理规定,1
有关主管部门认可的信息安全测评机构,1
中华人民共和国经营者与消费者约定,1
湖北省实施〈中华人民共和国消费者权益保护法〉办法,1
中华人民共和国国家市场准入负面清单,1
中华人民共和国国家外商投资准入负面清单,1
中华人民共和国国务院关于促进中小企业发展有关政策的若干规定,1
国家和湖南省相关法律法规及政策文件,1
湖南省政务服务管理办法,1
湖南省公共信用信息服务平台,1
中华人民共和国食品安全法 中华人民共和国安全生产法 中华人民共和国公共安全法 中华人民共和国环境保护法,1
中华人民共和国国务院关于加强和规范事中事后监管的指导意见 国家层面临时执法检查文件 省级人民政府临时执法检查文件,1
中小企业服务中心,1
国际营商环境指标体系,1
中华人民共和国社会信用体系建设规划纲要,1
商品房销售管理办法,1
中华人民共和国国务院关于建设工程质量管理的行政法规,1
贵州省专利奖评选办法,1
国家知识产权局专利复审委员会受理证明,1
中华人民共和国企业国有资产法,1
贵州省专利保护条例,1
贵州省大数据发展应用总体规划,1
中华人民共和国国家技术标准、规范要求,1
中华人民共和国公安机关法,1
中华人民共和国税收优惠政策规定,1
中华人民共和国市场监管总局职能职责规定,1
中华人民共和国双方约定,1
中华人民共和国国家制定的“三包”商品目录,1
中华人民共和国国家和省制订的规范合同文本,1
工程建设强制性标准,1
中华人民共和国国家工程建设标准和规范,1
上海市人民政府关于促进电子商务发展的支持办法,1
上海市质量技监行政管理部门、市经济信息化行政管理部门,1
中华人民共和国消费者权益保护组织相关规范,1
中华人民共和国资产评估法,1
中华人民共和国服务规范,1
上海市人民政府关于技术市场基金设立与管理的规定,1
中华人民共和国国家和本市有关优惠政策文件,1
上海市科学技术行政部门,1
有关部门,1
中华人民共和国市场监管行政处罚程序规定,1
其他国家标准化组织,1
国际标准化技术委员会工作规则,1
长江三角洲区域一体化发展规划纲要,1
中华人民共和国法律、中华人民共和国行政法规、浙江省地方性法规,1
浙江省公共信用信息管理条例,1
国家有关地下综合管廊建设与管理的规范性文件,1
乌鲁木齐市发展和改革部门制定的参考收费标准,1
中华人民共和国规定的程序,1
管廊运营单位,1
乌鲁木齐市城市管理委员会、乌鲁木齐市建设局、乌鲁木齐市应急管理局,1
大型群众性活动安全管理条例,1
中华人民共和国人力资源和社会保障部,1
国家社会信用信息平台建设的总体要求,1
中华人民共和国省、自治区、直辖市人民政府市场监督管理部门,1
中华人民共和国专业机构,1
中华人民共和国市场监督管理部门责令期限规定,1
全国污染源普查领导小组办公室,1
全国污染源普查方案,1
中华人民共和国专业标准（部标准）,1
中国共产党中央军事委员会,1
中国人民解放军总后勤部,1
中华人民共和国矿山地质环境治理恢复基金管理办法,1
省级自然资源主管部门制定的核定指标文件,1
中华人民共和国水污染防治法 中华人民共和国大气污染防治法 中华人民共和国土壤污染防治法 中华人民共和国森林法 中华人民共和国固体废物污染环境防治法 中华人民共和国环境保护法 中华人民共和国土地管理法 中华人民共和国安全生产法 中华人民共和国水土保持法 中华人民共和国矿产资源法 中华人民共和国自然保护区条例 中华人民共和国风景名胜区条例,1
市长热线等平台举报投诉制度,1
国家担保基金,1
江苏省再担保资源,1
城市地下综合管廊专项规划,1
市场监督管理(知识产权)部门,1
厦门市著名商标认定和保护办法,1
中华人民共和国国家有关部门和省级有关部门,1
中华人民共和国评估法,1
厦门市人民政府关于建设项目生成管理办法的制定文件,1
厦门市人民政府关于审批事项管理的有关规定,1
厦门市人民政府关于建设项目审批信用监管办法的制定文件,1
厦门市人民政府关于商事主体登记实施前置行政许可项目的公告,1
厦门市人民政府关于经营场所禁设区域的公告,1
厦门经济特区查处无照经营办法,1
吉林省人民政府关于制定吉林省专利奖具体办法的决定,1
吉林省地方性法规制定条例,1
中华人民共和国国家和省有关优化营商环境的规范性文件,1
中华人民共和国公共信用信息共享平台管理办法,1
中华人民共和国国家有关法律法规和政策文件,1
中华人民共和国国家和吉林省有关法律法规和政策文件,1
事业单位人事管理条例,1
企业标准,1
中华人民共和国国家标准 《农业机械维修技术规范》,1
吉林省农业机械行政主管部门公告,1
吉林省人民政府关于农业机械驾驶培训收费标准的有关规定,1
农业机械安全监理机构,1
吉林省国民经济和社会发展计划,1
中华人民共和国政府投资条例,1
中华人民共和国建设工程项目批准文件管理办法,1
中华人民共和国建设工程勘察设计文件编制深度规定,1
吉林省人民政府住房和城乡建设主管部门,1
省人民政府住房和城乡建设等相关主管部门,1
吉林省工程建设勘察设计管理条例,1
吉林省技术市场管理条例,1
中华人民共和国相关金融监管规定,1
吉林省实施〈中华人民共和国消费者权益保护法〉办法,1
中华人民共和国宪法、中华人民共和国专利法、中华人民共和国商标法、中华人民共和国著作权法、中华人民共和国反不正当竞争法等有关法律、行政法规,1
中华人民共和国官方标志保护规定、中华人民共和国奥林匹克标志保护条例、中华人民共和国特殊标志管理条例,1
中华人民共和国安全生产法、中华人民共和国劳动法、中华人民共和国职业病防治法、中华人民共和国未成年人保护法、女职工劳动保护特别规定,1
职业学校学生实习管理规定,1
中华人民共和国财政涉企专项资金管理办法,1
学校学生实习管理规定,1
中华人民共和国国家和省有关职业教育校企合作的政策文件,1
中华人民共和国国家另有规定文件,1
吉林省工商行政管理部门,1
政务服务一体化平台,1
河北惠企利民政策通平台,1
国务院商务主管部门关于特许经营备案的有关规定,1
国务院商务主管部门关于商业特许经营信息披露的相关规定,1
禁止传销条例,1
中华人民共和国国务院商务主管部门,1
中华人民共和国公共数据分类分级指南（国家层面）,1
中华人民共和国公共数据分类分级管理规定,1
中华人民共和国相关数据标准,1
中华人民共和国国家和省级有关公共数据管理的规范性文件,1
中华人民共和国法律、行政法规、部门规章及国家有关公共数据管理的规范性文件,1
天府通办,1
四川省一体化政务服务平台,1
中华人民共和国人力资源和社会保障部关于人才奖励的相关规定,1
中华人民共和国国家和省有关数据安全与信息化管理的法律法规及规范性文件,1
国家统一平台,1
成渝地区双城经济圈建设战略规划,1
中华人民共和国国家规定、行业规则,1
中华人民共和国城市房地产开发经营管理条例,1
中华人民共和国房屋保修管理规定,1
中华人民共和国国务院医疗事故处理条例,1
中华人民共和国毒性药品管理办法,1
四川省保护消费者合法权益条例,1
天津市专利促进与保护条例,1
天津市人民政府制定办法,1
天津市政务数据共享平台和开放平台,1
天津市政务数据共享平台,1
天津市互联网信息主管部门,1
中华人民共和国社会公德规范,1
天津市产业转型升级实施方案,1
中华人民共和国国家有关安全生产管理规定,1
中华人民共和国应急管理部相关职责规定,1
中华人民共和国国家和本市有关地下管线管理的规定,1
中华人民共和国相关主管部门管理规定,1
中华人民共和国国家标准、行业标准,1
中华人民共和国法律、行政法规、地方性法规、部门规章、地方政府规章,1
天津市信息资源统一共享交换平台管理办法,1
中华人民共和国国家有关事故调查处理的行政法规及规范性文件,1
有关法律、行政法规和国家有关规定,1
天津市建设工程质量管理条例,1
中华人民共和国国务院标准化行政主管部门相关规定,1
天津市实施<中华人民共和国标准化法>办法,1
天津市法制宣传教育条例,1
中华人民共和国市场监督管理法,1
中华人民共和国法律、行政法规中关于消费者权益保护的强制性规定,1
天津市实施<中华人民共和国消费者权益保护法>办法,1
国务院出版行政部门批准的年度出版计划,1
出版管理条例,1
中华人民共和国海关,1
中华人民共和国国家和本市的有关规定,1
中华人民共和国国家统筹规划文件,1
中华人民共和国文化和旅游部,1
中华人民共和国国家和天津市相关法律法规及规范性文件,1
天津市人民代表大会常务委员会关于加强滨海新区和中心城区中间地带规划管控建设绿色生态屏障的决定,1
中华人民共和国法律、中华人民共和国行政法规、国家有关规定、天津市有关规定,1
宁夏回族自治区人民政府标准化行政主管部门,1
宁夏回族自治区人民政府,1
宁夏回族自治区有关行政主管部门,1
自治区人民政府标准化行政主管部门颁发的执法证件,1
中华人民共和国国家有关验收规定,1
中华人民共和国发展和改革行政管理规定,1
宁波市信息化发展规划,1
宁波市政务信息资源共享管理办法,1
中华人民共和国国家有关信息安全的法律法规及规范性文件,1
中华人民共和国国家有关信息安全测评机构资质管理的法律法规及规范性文件,1
中华人民共和国法律、中华人民共和国行政法规和执业准则,1
宁波市人民政府关于危险化学品管理相关目录的管理办法,1
浙江省渔业管理条例,1
中华人民共和国宁波市城市排水和再生水利用条例,1
中华人民共和国国家和省级有关产教融合激励政策文件,1
与外国签订的有关著作权的双边协定,1
保护文学艺术作品伯尔尼公约,1
中华人民共和国同有关国家签订的有关著作权的双边协定,1
中华人民共和国政府与外国政府签订的国际著作权条约,1
中华人民共和国公证法,1
设区的市人民政府专利行政部门出具的有关证明文件,1
山东省人民政府专利行政部门认定的专利文献检索机构,1
山东省专利保护条例,1
中华人民共和国生态环境保护相关法律法规及政策文件,1
中华人民共和国有关建设工程设计管理的法律法规及相关规范性文件,1
国家和省推荐的合同示范文本,1
中华人民共和国国家规定应当进行抗震设防专项审查的相关规定,1
中华人民共和国国家有关建设工程审查规定,1
有关技术市场统计的规定,1
中华人民共和国国家有关技术合同管理的法律法规及政策文件,1
本单位出具的技术交易奖励证明文件,1
中华人民共和国税收管理法律、法规,1
山东省技术市场管理条例,1
山东省人民政府关于表彰奖励工作的有关规定,1
中华人民共和国人力资源和社会保障部关于深化职称制度改革的意见,1
国家科学技术奖励条例,1
中华人民共和国推荐性国家标准,1
山东省实施〈中华人民共和国标准化法〉办法,1
政府购买服务管理办法,1
中华人民共和国国务院卫生和计划生育主管部门规定,1
全国公共信用信息平台,1
中华人民共和国国家有关知识产权案件跨区域审理等规定,1
中华人民共和国国家规定应当设立知识产权投诉机构的展会相关文件,1
山东省知识产权促进条例,1
国家政务服务平台电子证照系统、电子印章系统,1
中华人民共和国法律、行政法规及农产品质量安全相关标准,1
中华人民共和国国务院农业农村主管部门相关规定,1
山西省信用信息共享平台,1
上级人民政府发布的农产品质量安全突发事件应急预案,1
中华人民共和国国家产业创新中心建设与运行管理办法,1
全国标准信息公共服务平台,1
有关行政主管部门,1
等法律、行政法规,1
山西省人民政府关于建立预收资金监管平台的具体办法,1
信用中国网站、国家企业信用信息公示系统,1
国务院有关部门或者省、自治区、直辖市人民政府有关部门组织的建设工程技术专家委员会,1
中央军事委员会的有关规定,1
全国旅游监管服务平台系统,1
中华人民共和国法律、中华人民共和国行政法规、国家强制性标准,1
中华人民共和国国家有关责任保险规定,1
无锡市全域旅游发展规划,1
中华人民共和国相关法律法规及国家标准,1
无锡市实施<江苏省旅游管理条例>办法,1
国务院、中央军事委员会,1
设计任务书（协议书）,1
国家国防科技工业局,1
中华人民共和国国防科学技术工业委员会备案管理办法,1
武器装备研制工作建立总设计师制度和行政指挥管理责任制的规定,1
中华人民共和国国务院国防科技工业主管部门会同中国人民解放军总装备部和军工电子行业主管部门共同制定许可目录,1
中华人民共和国国务院有关部门和军队有关部门,1
中华人民共和国国务院国防科技工业主管部门,1
国务院国防科技工业主管部门关于武器装备科研生产许可证格式的规定,1
武器装备科研生产单位保密资格审查认证管理办法,1
中华人民共和国保守国家秘密法实施条例,1
国务院国防科技工业主管部门关于武器装备科研生产许可管理的有关规定,1
国家统一制定的技术合同文本,1
中华人民共和国本市规定,1
武汉市技术市场管理办法,1
武汉市国民经济和社会发展第十四个五年规划和二〇三五年远景目标纲要,1
中华人民共和国国家有关知识产权管理规定,1
中华人民共和国有关知识产权处置与备案管理规定,1
中华人民共和国国家知识产权局关于知识产权奖励的相关规定,1
中华人民共和国宪法、中华人民共和国立法法、中华人民共和国行政许可法等有关法律、行政法规的基本原则,1
中国互联网络信息中心域名注册管理办法,1
汕头市人民政府关于知识产权行政执法技术调查官管理办法的制定规定,1
中华人民共和国国家有关知识产权保护规定,1
中华人民共和国国家和省有关价格管理的规定,1
国家和省相关规定,1
江苏省价格管理监督条例,1
中华人民共和国劳动教养试行办法,1
中华人民共和国发展和改革委员会相关规范性文件,1
国家市场监督管理总局关于印发《检验检测机构资质认定管理办法》的通知,1
江苏省实施〈中华人民共和国消费者权益保护法〉办法,1
江苏省专利奖评选办法,1
中华人民共和国国家有关中小企业发展基金设立与管理的规范性文件,1
中国人民银行再贷款管理办法,1
中华人民共和国政府采购法实施条例,1
中华人民共和国监督检查部门组织法,1
中华人民共和国国家标准、行业标准、地方标准,1
中华人民共和国国家强制性技术规范,1
中华人民共和国国家卫生、植物检疫和动物防疫要求,1
中华人民共和国转基因生物安全管理规定,1
中华人民共和国检验检测机构资质认定管理办法,1
中华人民共和国国家和省有关地方标准制定的规定,1
中华人民共和国国务院标准化主管部门制定并公布的编号规则,1
中华人民共和国强制性产品认证目录,1
江西省人民政府标准化主管部门组织制定评价规范,1
专业技术职务任职资格评审办法,1
江西省公共信用信息管理条例,1
江西省标准化管理条例,1
沈阳市建设项目生成管理办法,1
沈阳市人民政府关于建设项目审批信用监管制度制定的有关规定,1
沈阳市税务部门监制的技术贸易专用发票,1
中华人民共和国国家和省有关技术合同登记收费的规范性文件,1
沈阳市工商行政管理部门,1
沈阳市人民政府关于技术市场金桥奖奖励办法的制定规定,1
江苏省地方标准管理办法、行业标准管理办法、国家标准管理办法,1
中国（深圳）知识产权保护中心,1
海外知识产权纠纷应对指导深圳分中心,1
中华人民共和国网络信息内容生态治理规定,1
中华人民共和国国家有关规定和标准,1
行业主管部门、行业组织制定的预收款合同示范文本,1
深圳市人民政府关于知识产权行政执法技术调查官配备的具体办法,1
深圳市中级人民法院关于知识产权案件技术调查官配备的具体办法,1
国家知识产权海外维权应对指导中心深圳分中心,1
国家知识产权主管部门出具的专利权评价报告,1
深圳经济特区加强知识产权保护工作若干规定,1
中华人民共和国煤矿安全生产强制性国家标准,1
煤矿安全规程,1
国家矿山安全监察机构制定并公布的具体目录,1
中华人民共和国生产安全事故应急救援预案,1
中华人民共和国矿山救护队管理规定,1
国家矿山安全监察机构关于危险作业管理的规定,1
国家矿山安全监察机构制定的安全生产电子数据规范,1
中华人民共和国国务院关于预防煤矿生产安全事故的特别规定,1
中华人民共和国本级人民政府,1
京津冀科技资源创新服务平台,1
中华人民共和国地方标准 知识产权管理规范,1
中华人民共和国国家标准 旅游服务规范,1
营业性演出管理条例,1
中华人民共和国国家有关服务收费管理规定,1
秦皇岛市养犬管理条例,1
中华人民共和国导游人员管理条例,1
无证无照经营查处办法,1
中华人民共和国渔业船员管理办法,1
中华人民共和国国务院产品质量监督部门,1
中华人民共和国产品质量监督部门相关规定,1
中华人民共和国产品质量监督部门,1
国务院产品质量监督部门关于缺陷汽车产品召回管理的相关规定,1
中华人民共和国产品质量监督部门备案管理办法,1
国务院产品质量监督部门的规定,1
中华人民共和国网络安全法规定的有关主管部门,1
中华人民共和国电子政务系统管理要求,1
国家互联网信息办公室关于数据出境安全评估的有关规定,1
国家互联网信息办公室关于个人信息保护认证的管理办法,1
国家互联网信息办公室关于个人信息出境标准合同的制定规定,1
中华人民共和国法律、中华人民共和国行政法规、中华人民共和国国家标准,1
苏南国家自主创新示范区建设规划,1
中华人民共和国国家和省有关公共数据管理的政策文件,1
苏州市公共数据平台建设与管理办法,1
数据管理能力成熟度评估模型国家标准,1
中华人民共和国政务服务条例,1
中华人民共和国国家有关数据安全与跨境管理的法律法规及政策文件,1
中华人民共和国有关责任免除或从轻减轻处理的规范性文件,1
江苏省知识产权促进和保护条例,1
国家知识产权局关于发布知识产权白皮书和典型案例的工作指引,1
社会组织,1
苏州市专利促进条例,1
国务院建设工程勘察设计管理条例,1
陕西省实施〈中华人民共和国招标投标法〉办法,1
中华人民共和国参加的国际条约,1
中华人民共和国国务院著作权行政管理部门认定的软件登记机构,1
中华人民共和国国务院著作权行政管理部门会同国务院价格主管部门关于软件登记收费标准的规定,1
国务院著作权行政管理部门认定的软件登记机构,1
中华人民共和国技术进出口管理条例,1
侵权行为发生时的国家有关规定,1
辽宁省信用信息管理条例,1
辽宁省财政专项资金管理办法,1
辽宁省专利保护条例,1
中华人民共和国价格违法行为行政处罚规定,1
辽宁省财政厅关于统一印制罚没票据的规定,1
国家有关公共数据管理的规范性文件,1
辽宁省网络安全和信息化主管部门相关规范性文件,1
辽宁省法制宣传教育条例,1
辽宁省消费者权益保护规定,1
中华人民共和国国家关于知识产权案件跨区域审理和法院案件指定管辖的相关规定,1
中华人民共和国司法区块链平台建设与应用指导意见,1
中华人民共和国法律、行政法规和国家政策文件,1
中华人民共和国国家有关专利权属管理的法律法规,1
国家反价格垄断规定,1
陕西省定价目录,1
中华人民共和国国家和陕西省有关定价听证程序的规范性文件,1
中华人民共和国相关法律、中华人民共和国行政法规、陕西省行政事业性收费管理条例,1
中华人民共和国有关举报奖励的法律法规或政策文件,1
中华人民共和国职称评审管理规定,1
国务院知识产权行政部门关于布图设计登记材料的补充规定,1
中华人民共和国国务院知识产权行政部门相关职权规定,1
国务院知识产权行政部门关于使用布图设计非自愿许可的报酬的裁决,1
中华人民共和国价格主管部门,1
青岛市人民政府关于价格调节基金筹集使用管理的规定,1
中华人民共和国价格监测台账管理办法,1
中华人民共和国全国统一的价格监测报告制度,1
中华人民共和国市人民政府,1
中华人民共和国价格监测预警制度,1
青海省盐湖资源开发与保护条例,1
中华人民共和国上一级人民政府鼠疫控制应急预案,1
中华人民共和国县级以上人民政府卫生健康主管部门,1
青海省鼠疫交通检疫条例,1
中华人民共和国国家和上海市有关产品质量举报奖励的规范性文件,1
国家和市质量技术监督部门批准的产品质量监督抽查技术规范,1
上海市质量技术监督部门,1
上海市产品质量监督条例,1
国家网络安全等级保护制度,1
上海市人民政府办公厅关于公共数据监督管理的相关规定,1
相关法律、行政法规和有关主管部门的规定,1
全国一体化政务服务平台,1
需求清单、责任清单和共享数据资源目录,1
中华人民共和国国家发展和改革委员会关于数据安全管理的指导意见,1
中华人民共和国法律、中华人民共和国行政法规及国家有关规定,1
中华人民共和国国务院关于规范金融营销宣传行为的若干规定,1
中华人民共和国电子身份认证等技术相关规定,1
中华人民共和国国家和上海市有关预付卡管理的法律法规及规范性文件,1
平等互惠原则,1
国家互联网信息办公室关于个人信息转移的相关规定,1
国家互联网信息办公室关于个人信息处理数量标准的有关规定,1
中华人民共和国法律实施条例,1
中华人民共和国国务院授权的部门和地方政府,1
中华人民共和国注册会计师法,1
中华人民共和国国务院关于中外合作经营企业有关管理事项的规定,1
中华人民共和国国家对外经济贸易主管部门,1
中华人民共和国国家工商行政管理主管部门,1
中华人民共和国税法,1
国家有关税收的法律和行政法规,1
国务院负责中小企业促进工作综合管理的部门会同国务院有关部门,1
中华人民共和国应收账款融资服务平台,1
政府采购监督管理部门指定媒体,1
中华人民共和国行政事业性收费管理条例,1
中华人民共和国国务院关于优先贷款、优惠贷款具体办法的规定,1
国家产业政策,1
中华人民共和国国务院制定的具体管理办法,1
中华人民共和国国务院市场监督管理部门授权的部门,1
中华人民共和国国务院关于监督抽查费用列支的规定,1
中华人民共和国政府价格主管部门相关规定,1
地方定价目录,1
国务院和中央军事委员会关于军事禁区和军事管理区划定标准与程序的规定,1
国务院和中央军事委员会关于划为军事管理区的军民合用机场、港口、码头管理办法的规定,1
中华人民共和国无线电管理条例,1
中华人民共和国有关法律法规及政策文件,1
中华人民共和国省、自治区、直辖市公安机关批准,1
中华人民共和国反间谍法,1
军队有关规定,1
国务院和中央军事委员会规定,1
国家明令淘汰和禁止使用的农药、兽药、饲料添加剂等产品目录,1
中华人民共和国国家职业资格证书制度的统一规定,1
中华人民共和国国务院制定的行政法规或规范性文件,1
中华人民共和国国务院令第XXX号（省级以上人民政府制定的筹资筹劳控制标准文件）,1
相关法律或者行政法规,1
中华人民共和国国务院农业农村主管部门的规定,1
农产品质量安全承诺达标合格证管理办法,1
国务院农业农村主管部门关于农产品监督抽查样品数量的规定,1
中华人民共和国农业农村部关于农产品质量安全检测机构资质认定办法,1
国务院农业农村主管部门会同国务院市场监督管理等部门认定的快速检测方法,1
国家食品安全事故应急预案,1
有关粮食管理的法律、行政法规,1
农村土地承包仲裁委员会章程和仲裁规则,1
国务院关于口岸开放的有关规定,1
中华人民共和国外交部关于外交签证、礼遇签证、公务签证签发范围和签发办法的规定,1
中华人民共和国国务院关于普通签证类别和签发办法的规定,1
中华人民共和国旅馆业治安管理办法,1
中华人民共和国国务院制定外国人在中国境内工作管理办法,1
中华人民共和国难民身份证件签发管理办法,1
其他法律,1
中华人民共和国公民出境入境管理法,1
中华人民共和国国务院卫生健康等有关部门,1
中华人民共和国国家有关规范性文件,1
中华人民共和国疫苗质量标准,1
中华人民共和国国务院农业农村主管部门,1
国务院农业农村主管部门,1
中华人民共和国国务院农业农村主管部门有关动物防疫规定,1
中华人民共和国地方性法规,1
中华人民共和国动物疫病预防控制机构,1
国务院农业农村主管部门发布的相关规定,1
中华人民共和国上一级人民政府应急管理部门,1
国务院农业农村主管部门关于动物和动物产品检疫的规定,1
国务院农业农村主管部门关于动物检疫与管理的相关规定,1
国务院农业农村主管部门关于动物诊疗活动管理的相关规定,1
中华人民共和国国务院关于兽药和兽医器械管理办法的规定,1
国家有关动物疫情处理的行政法规和规范性文件,1
中华人民共和国农业农村部关于动物疫病防控的规范性文件,1
国务院农业农村主管部门关于动物防疫要求的规定,1
中华人民共和国环境保护法及相关法律法规,1
实验动物管理的有关规定,1
中华人民共和国国家卫生健康委员会关于医师执业管理的相关规定,1
中华人民共和国省级人民政府卫生健康主管部门,1
中华人民共和国知情同意管理办法,1
放射性药品管理办法,1
中华人民共和国药品说明书,1
中华人民共和国执业医师法,1
中华人民共和国国家发展和改革委员会关于印发《政府定价目录》的通知,1
中华人民共和国全国人民代表大会常务委员会,1
国务院税务主管部门关于印花税征收管理的具体办法,1
中华人民共和国印花税暂行条例,1
中华人民共和国国家发展和改革委员会关于建立企业信用信息公示制度的指导意见,1
中国人民银行法,1
国家网络身份认证公共服务,1
中华人民共和国国家救助条例,1
中华人民共和国反洗钱法,1
中华人民共和国国家电力监管机构,1
高技术产业发展规划,1
国务院能源主管部门,1
全国可再生能源开发利用规划,1
中华人民共和国国务院工商行政管理部门关于集体商标和证明商标注册与管理的特殊事项规定,1
国务院关于公布《商标管理条例》的命令,1
中华人民共和国国家知识产权局商标局和商标评审委员会,1
中华人民共和国国家知识产权局商标局电子系统,1
中华人民共和国国家知识产权局商标评审委员会数据库记录系统,1
中华人民共和国加入的《商标国际注册马德里协定》,1
中华人民共和国加入的《商标国际注册马德里议定书》,1
世界知识产权组织国际局和中华人民共和国国家知识产权局关于商标国际注册申请材料格式的规定,1
世界知识产权组织,1
中华人民共和国商标注册簿,1
中华人民共和国商标公告,1
中华人民共和国国务院标准化主管部门会同国务院发展改革、生态环境、工业和信息化、住房和城乡建设、交通运输、铁路监督管理、民用航空、海事等部门,1
中华人民共和国民用建筑隔声设计相关标准,1
中华人民共和国国务院发展改革部门,1
低噪声施工设备指导名录,1
有关交通基础设施工程技术规范以及标准要求,1
国务院公安等部门关于警报器安装与使用管理的规定,1
民用建筑隔声设计相关标准要求,1
国务院民用航空主管部门规定的适航标准,1
国家固体废物污染环境防治技术标准,1
全国信用信息共享平台,1
工业固体废物综合利用技术、工艺、设备和产品导向目录,1
国务院关于排污许可制度的具体办法和实施步骤的规定,1
国务院生态环境等主管部门的规定,1
国家环境保护标准,1
国家有关环境保护的规定,1
国务院关于危险废物经营许可证管理办法,1
中华人民共和国国务院生态环境主管部门会同国务院交通运输主管部门和公安部门制定的危险废物转移管理具体办法,1
中华人民共和国危险货物运输管理规定,1
全国人民代表大会常务委员会关于授权国务院在部分地区开展国防动员试点工作的决定,1
中华人民共和国国徽图案制作说明,1
中华人民共和国国务院关于外事活动和国家驻外使馆、领馆以及其他外交代表机构对外使用国徽图案办法的批准决定,1
全国人民代表大会常务委员会办公厅或者国务院办公厅会同有关主管部门规定,1
国务院办公厅关于国徽使用管理的有关规定,1
中国人民政治协商会议第一届全体会议主席团公布的国旗制法说明,1
国家成立的治丧机构,1
中华人民共和国国家有关国旗管理的行政法规或规范性文件,1
中华人民共和国外交部关于外交活动中奏唱国歌的场合和礼仪的规定,1
中华人民共和国中央军事委员会关于军队奏唱国歌的场合和礼仪的规定,1
中国政府网,1
国务院广播电视主管部门关于国歌播放时点的规定,1
中华人民共和国不动产登记法（暂未制定）及相关的行政法规,1
中华人民共和国国务院关于批准大型能源、交通、水利等基础设施建设用地的决定,1
中华人民共和国省、自治区、直辖市人民政府关于批准能源、交通、水利等基础设施建设用地的决定,1
中华人民共和国国务院自然资源主管部门会同农业农村主管部门关于耕地验收的职责规定,1
中华人民共和国国务院关于重大事项审批权限的规定,1
国务院自然资源主管部门,1
中华人民共和国城市规划法,1
中华人民共和国国有建设用地使用权管理相关法律制度,1
中华人民共和国土地管理监督检查证件,1
中华人民共和国国务院农业农村部、自然资源部、住房和城乡建设部、水利部、国家卫生健康委员会、国家林业和草原局,1
国务院农业农村、林业草原、生态环境、自然资源主管部门规定,1
中华人民共和国国务院生态环境部、自然资源部联合发布的相关规范性文件,1
中华人民共和国国务院生态环境主管部门相关规定,1
中华人民共和国地方人民政府生态环境主管部门和工业和信息化主管部门,1
中华人民共和国土壤污染风险管控标准,1
中华人民共和国地方人民政府农业农村、林业草原主管部门,1
中华人民共和国省级人民政府生态环境主管部门,1
中华人民共和国国务院生态环境主管部门制定的相关规定,1
土壤污染风险评估报告,1
中华人民共和国地方人民政府生态环境主管部门工作规程,1
中华人民共和国国务院财政主管部门会同国务院生态环境、农业农村、自然资源、住房城乡建设、林业草原等主管部门制定,1
中华人民共和国省级人民政府,1
全国土壤环境信息平台,1
中华人民共和国外商投资法实施条例,1
国务院规定,1
中华人民共和国法律、中华人民共和国行政法规、中华人民共和国地方性法规,1
中华人民共和国合伙企业法,1
中华人民共和国企业登记系统管理办法,1
国务院关于加快推进全国一体化政务服务平台建设的指导意见,1
外商投资准入负面清单,1
中华人民共和国外商投资信息报告制度,1
国务院生态环境主管部门关于大气污染物排放管理的相关规定,1
中华人民共和国国务院生态环境主管部门关于大气污染物监测与重点排污单位管理的规定,1
中华人民共和国城市人民政府,1
